token_idx,layer,experts
16,20,"[55, 17, 50, 6]"
16,21,"[17, 56, 27, 36]"
16,22,"[49, 58, 23, 20]"
16,23,"[9, 14, 30, 53]"
17,0,"[4, 46, 55, 47]"
17,1,"[29, 13, 6, 31]"
17,2,"[6, 23, 49, 46]"
17,3,"[9, 11, 16, 19]"
17,4,"[21, 7, 17, 33]"
17,5,"[46, 3, 40, 18]"
17,6,"[28, 2, 38, 21]"
17,7,"[26, 50, 32, 36]"
17,8,"[22, 44, 16, 26]"
17,9,"[34, 9, 0, 29]"
17,10,"[3, 23, 13, 43]"
17,11,"[33, 9, 29, 27]"
17,12,"[22, 36, 11, 47]"
17,13,"[18, 15, 4, 8]"
17,14,"[35, 52, 34, 41]"
17,15,"[4, 51, 30, 13]"
17,16,"[38, 9, 3, 51]"
17,17,"[22, 40, 51, 11]"
17,18,"[58, 43, 54, 2]"
17,19,"[19, 50, 38, 16]"
17,20,"[38, 28, 37, 54]"
17,21,"[0, 4, 14, 34]"
17,22,"[44, 20, 58, 15]"
17,23,"[51, 41, 58, 54]"
18,0,"[30, 0, 55, 23]"
18,1,"[44, 36, 10, 12]"
18,2,"[51, 54, 19, 39]"
18,3,"[31, 56, 39, 35]"
18,4,"[37, 27, 5, 36]"
18,5,"[14, 58, 40, 24]"
18,6,"[34, 28, 36, 2]"
18,7,"[20, 50, 19, 10]"
18,8,"[44, 57, 26, 18]"
18,9,"[34, 4, 39, 3]"
18,10,"[23, 13, 22, 3]"
18,11,"[33, 58, 49, 0]"
18,12,"[22, 39, 47, 58]"
18,13,"[46, 15, 8, 4]"
18,14,"[52, 43, 9, 3]"
18,15,"[50, 4, 44, 17]"
18,16,"[35, 34, 21, 28]"
18,17,"[9, 35, 58, 25]"
18,18,"[57, 21, 43, 55]"
18,19,"[11, 46, 42, 15]"
18,20,"[16, 59, 6, 23]"
18,21,"[54, 31, 44, 14]"
18,22,"[33, 59, 51, 17]"
18,23,"[57, 29, 43, 0]"
19,0,"[18, 51, 56, 32]"
19,1,"[19, 52, 37, 21]"
19,2,"[37, 43, 29, 45]"
19,3,"[55, 46, 35, 39]"
19,4,"[48, 25, 23, 12]"
19,5,"[26, 18, 53, 22]"
19,6,"[51, 58, 2, 33]"
19,7,"[56, 36, 0, 11]"
19,8,"[54, 13, 24, 38]"
19,9,"[12, 26, 11, 55]"
19,10,"[14, 44, 48, 49]"
19,11,"[19, 36, 53, 5]"
19,12,"[3, 55, 41, 24]"
19,13,"[57, 27, 20, 43]"
19,14,"[27, 23, 22, 24]"
19,15,"[19, 47, 0, 52]"
19,16,"[15, 18, 24, 55]"
19,17,"[0, 30, 34, 52]"
19,18,"[13, 57, 1, 10]"
19,19,"[3, 39, 29, 10]"
19,20,"[52, 22, 30, 16]"
19,21,"[32, 12, 41, 6]"
19,22,"[57, 52, 15, 35]"
19,23,"[49, 40, 6, 35]"
20,0,"[19, 17, 57, 22]"
20,1,"[18, 53, 7, 1]"
20,2,"[2, 43, 18, 28]"
20,3,"[30, 44, 16, 21]"
20,4,"[31, 24, 41, 12]"
20,5,"[18, 36, 32, 11]"
20,6,"[57, 31, 46, 30]"
20,7,"[35, 43, 54, 21]"
20,8,"[39, 47, 30, 53]"
20,9,"[54, 23, 43, 24]"
20,10,"[1, 17, 36, 8]"
20,11,"[59, 22, 14, 3]"
20,12,"[30, 54, 23, 6]"
20,13,"[30, 50, 37, 35]"
20,14,"[6, 47, 49, 51]"
20,15,"[55, 33, 8, 32]"
20,16,"[25, 59, 20, 28]"
20,17,"[18, 12, 20, 9]"
20,18,"[12, 59, 17, 44]"
20,19,"[3, 33, 30, 38]"
20,20,"[55, 4, 16, 15]"
20,21,"[44, 45, 23, 43]"
20,22,"[49, 57, 50, 58]"
20,23,"[7, 12, 27, 26]"
21,0,"[4, 46, 55, 47]"
21,1,"[29, 10, 6, 31]"
21,2,"[52, 49, 37, 42]"
21,3,"[41, 9, 19, 56]"
21,4,"[17, 4, 37, 12]"
21,5,"[23, 10, 3, 38]"
21,6,"[40, 3, 23, 21]"
21,7,"[26, 13, 49, 59]"
21,8,"[10, 37, 49, 26]"
21,9,"[14, 42, 46, 31]"
21,10,"[25, 28, 20, 30]"
21,11,"[16, 29, 9, 56]"
21,12,"[10, 36, 21, 48]"
21,13,"[29, 39, 41, 55]"
21,14,"[45, 14, 52, 46]"
21,15,"[59, 50, 29, 32]"
21,16,"[34, 6, 9, 35]"
21,17,"[49, 24, 40, 15]"
21,18,"[35, 6, 21, 30]"
21,19,"[17, 44, 19, 11]"
21,20,"[53, 26, 1, 8]"
21,21,"[29, 51, 20, 14]"
21,22,"[6, 51, 48, 47]"
21,23,"[31, 5, 21, 40]"
22,0,"[6, 4, 47, 9]"
22,1,"[25, 19, 49, 56]"
22,2,"[29, 42, 52, 43]"
22,3,"[41, 53, 6, 48]"
22,4,"[40, 37, 36, 25]"
22,5,"[54, 23, 10, 7]"
22,6,"[51, 4, 34, 21]"
22,7,"[24, 59, 20, 13]"
22,8,"[18, 10, 37, 23]"
22,9,"[46, 59, 31, 42]"
22,10,"[30, 18, 25, 43]"
22,11,"[0, 53, 43, 35]"
22,12,"[10, 16, 31, 35]"
22,13,"[29, 22, 44, 8]"
22,14,"[35, 2, 37, 8]"
22,15,"[44, 56, 37, 50]"
22,16,"[49, 35, 42, 10]"
22,17,"[24, 53, 39, 46]"
22,18,"[45, 57, 43, 21]"
22,19,"[32, 45, 43, 20]"
22,20,"[27, 47, 8, 25]"
22,21,"[42, 54, 53, 21]"
22,22,"[59, 40, 21, 7]"
22,23,"[59, 41, 4, 40]"
23,0,"[20, 12, 29, 49]"
23,1,"[36, 18, 30, 41]"
23,2,"[56, 32, 29, 45]"
23,3,"[3, 23, 53, 13]"
23,4,"[5, 23, 47, 13]"
23,5,"[47, 12, 33, 54]"
23,6,"[9, 33, 44, 8]"
23,7,"[24, 30, 9, 42]"
23,8,"[58, 54, 0, 24]"
23,9,"[58, 40, 12, 41]"
23,10,"[18, 43, 30, 24]"
23,11,"[52, 23, 42, 1]"
23,12,"[16, 17, 8, 34]"
23,13,"[20, 26, 22, 14]"
23,14,"[35, 48, 53, 34]"
23,15,"[20, 15, 8, 57]"
23,16,"[2, 8, 40, 59]"
23,17,"[11, 4, 26, 59]"
23,18,"[47, 10, 18, 25]"
23,19,"[29, 48, 45, 9]"
23,20,"[13, 46, 45, 40]"
23,21,"[15, 13, 46, 59]"
23,22,"[43, 15, 36, 54]"
23,23,"[13, 49, 41, 0]"
24,0,"[40, 15, 24, 20]"
24,1,"[36, 35, 55, 46]"
24,2,"[24, 56, 35, 30]"
24,3,"[4, 13, 37, 32]"
24,4,"[22, 57, 7, 1]"
24,5,"[29, 15, 37, 27]"
24,6,"[42, 19, 44, 16]"
24,7,"[17, 23, 55, 15]"
24,8,"[59, 33, 3, 17]"
24,9,"[50, 52, 36, 15]"
24,10,"[2, 36, 50, 17]"
24,11,"[23, 52, 39, 41]"
24,12,"[56, 15, 46, 57]"
24,13,"[28, 7, 32, 11]"
24,14,"[55, 20, 48, 18]"
24,15,"[53, 36, 7, 50]"
24,16,"[55, 11, 33, 28]"
24,17,"[3, 43, 35, 27]"
24,18,"[3, 55, 20, 24]"
24,19,"[7, 45, 30, 31]"
24,20,"[47, 9, 39, 41]"
24,21,"[33, 7, 10, 16]"
24,22,"[53, 52, 9, 12]"
24,23,"[49, 41, 2, 33]"
25,0,"[7, 52, 48, 39]"
25,1,"[53, 55, 36, 10]"
25,2,"[2, 20, 35, 15]"
25,3,"[30, 15, 10, 21]"
25,4,"[39, 31, 24, 1]"
25,5,"[32, 8, 2, 50]"
25,6,"[31, 43, 35, 45]"
25,7,"[43, 17, 41, 5]"
25,8,"[30, 43, 34, 35]"
25,9,"[41, 5, 17, 37]"
25,10,"[1, 19, 35, 36]"
25,11,"[22, 50, 46, 12]"
25,12,"[2, 26, 43, 52]"
25,13,"[23, 13, 2, 33]"
25,14,"[40, 17, 36, 55]"
25,15,"[48, 40, 55, 15]"
25,16,"[52, 40, 5, 59]"
25,17,"[45, 55, 50, 59]"
25,18,"[26, 17, 48, 42]"
25,19,"[35, 31, 37, 57]"
25,20,"[50, 55, 29, 58]"
25,21,"[47, 33, 10, 56]"
25,22,"[3, 17, 46, 40]"
25,23,"[6, 9, 27, 32]"
26,0,"[46, 3, 55, 0]"
26,1,"[29, 25, 13, 39]"
26,2,"[6, 4, 17, 56]"
26,3,"[9, 41, 46, 19]"
26,4,"[21, 54, 17, 20]"
26,5,"[58, 36, 24, 9]"
26,6,"[54, 38, 0, 49]"
26,7,"[41, 2, 38, 53]"
26,8,"[18, 16, 22, 44]"
26,9,"[31, 43, 4, 26]"
26,10,"[3, 30, 41, 53]"
26,11,"[49, 22, 43, 27]"
26,12,"[36, 59, 1, 47]"
26,13,"[18, 41, 47, 4]"
26,14,"[52, 58, 3, 53]"
26,15,"[58, 31, 25, 27]"
26,16,"[15, 6, 48, 28]"
26,17,"[22, 23, 8, 29]"
26,18,"[35, 54, 5, 21]"
26,19,"[17, 22, 19, 34]"
26,20,"[38, 43, 26, 3]"
26,21,"[12, 34, 48, 25]"
26,22,"[57, 28, 5, 22]"
26,23,"[31, 44, 1, 30]"
27,0,"[0, 21, 55, 17]"
27,1,"[44, 36, 39, 49]"
27,2,"[54, 59, 38, 1]"
27,3,"[31, 26, 22, 20]"
27,4,"[37, 36, 29, 5]"
27,5,"[58, 32, 46, 14]"
27,6,"[51, 23, 36, 4]"
27,7,"[20, 57, 8, 10]"
27,8,"[18, 57, 44, 7]"
27,9,"[4, 33, 16, 31]"
27,10,"[3, 53, 30, 22]"
27,11,"[49, 55, 43, 56]"
27,12,"[21, 39, 5, 27]"
27,13,"[27, 55, 18, 10]"
27,14,"[52, 9, 43, 26]"
27,15,"[50, 17, 27, 32]"
27,16,"[57, 34, 35, 4]"
27,17,"[24, 41, 5, 35]"
27,18,"[57, 19, 10, 52]"
27,19,"[45, 7, 17, 11]"
27,20,"[47, 13, 39, 31]"
27,21,"[33, 10, 54, 20]"
27,22,"[51, 53, 57, 12]"
27,23,"[31, 59, 41, 1]"
28,0,"[6, 41, 18, 4]"
